None,None,138838536,None,2016-10-14 16:21:43,2016-10-14 16:19:06,None,None,None,28,data16_13TeV.00310629.physics_Standby.merge.RAW,310629,2022-04-20 18:39:10
30,2021-10-19 04:11:21,18303025181,data16_13TeV,2021-05-13 22:49:26,2021-05-13 17:55:53,None,None,None,6,data16_13TeV.00310632.physics_Background.merge.DAOD_IDNCB.r12566_p4457_tid25419735_00,310632,2021-10-19 04:12:13
None,None,26523806930,data16,2019-02-18 19:32:48,2019-02-18 18:35:14,None,None,None,3,data16_13TeV.00310632.physics_CosmicCalo.archive.RAW.p3752_tid17141726_00,310632,2022-04-20 18:33:12
93,2022-03-01 19:28:05,568478988589,data16_13TeV,2021-12-08 11:56:27,2021-11-30 21:03:49,None,None,None,394,data16_13TeV.00310634.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456626_00,310634,2022-03-01 19:29:04
None,None,501646822036,None,2016-10-15 18:43:40,2016-10-14 19:22:03,None,None,None,240,data16_13TeV.00310634.calibration_LArNoiseBurst.daq.RAW,310634,2022-04-20 18:23:51
None,None,969995501382,data16,2019-02-24 21:21:05,2019-02-21 21:49:30,None,None,None,96,data16_13TeV.00310634.physics_Background.archive.RAW.p3752_tid17199545_00,310634,2022-04-20 18:37:15
None,None,296969674836,None,2016-10-15 19:42:13,2016-10-15 19:01:46,None,None,None,1486,data16_13TeV.00310634.physics_HLT_IDCosmic.merge.RAW,310634,2022-04-20 18:39:53
None,None,4161657448154,data16,2018-07-10 19:36:09,2018-07-06 09:57:15,None,None,None,1499,data16_13TeV.00310634.physics_Main.archive.DRAW_RPVLL.r9264_p3579_tid14548957_00,310634,2022-04-20 18:22:19
13736,2023-02-25 07:57:59,2843354470165,data16_13TeV,2018-06-19 23:59:31,2018-06-14 15:09:52,None,None,None,4876,data16_13TeV.00310634.physics_Main.merge.DAOD_RPVLL.r9264_r10573_p3578_tid14401617_00,310634,2023-02-25 07:58:47
None,None,4595535217419,data16_13TeV,2021-08-29 15:29:29,2021-07-28 23:11:46,None,None,None,715,data16_13TeV.00310634.physics_Main.merge.DESDM_EGAMMA.r12746_p3833_p3833_tid26231693_00,310634,2021-08-29 15:29:29
None,None,1896974188480,data16_13TeV,2021-08-31 13:43:59,2021-08-09 16:55:04,None,None,None,404,data16_13TeV.00310634.physics_Main.merge.DESDM_EMU.r12746_r12746_p3833_p3833_tid26236384_00,310634,2021-08-31 13:43:59
2177,2023-02-26 16:11:50,1049726606476,None,2016-10-15 21:04:36,2016-10-14 19:29:52,None,None,None,1469,data16_13TeV.00310634.physics_ZeroBias.merge.RAW,310634,2023-02-26 16:12:46
29,2022-03-01 11:26:59,349635534343,data16_13TeV,2021-12-10 20:35:42,2021-12-06 03:41:41,None,None,None,229,data16_13TeV.00310691.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456628_00,310691,2022-03-01 11:27:20
None,None,3349549316,None,2016-10-16 09:31:38,2016-10-15 23:35:25,None,None,None,72,data16_13TeV.00310691.calibration_SCTNoise.daq.RAW,310691,2022-04-20 18:27:16
None,1970-01-18 03:58:44,3920136,None,2016-10-16 09:10:54,2016-10-16 01:27:22,None,None,None,4,data16_13TeV.00310691.calibration_TgcNoiseBurst.daq.RAW,310691,2022-04-20 18:29:42
251,2020-09-11 04:19:55,11448116044,data16_13TeV:rel21repro,2017-04-07 02:16:09,2017-03-31 21:35:25,None,None,None,9,data16_13TeV.00310691.physics_Main.merge.DAOD_IDTIDE.r9264_p3083_p3083_tid11071894_00,310691,2022-04-20 18:39:41
None,None,1446763392071,data16_13TeV,2021-08-31 14:36:16,2021-08-09 16:04:53,None,None,None,339,data16_13TeV.00310691.physics_Main.merge.DESDM_EMU.r12746_r12746_p3833_p3833_tid26236388_00,310691,2021-08-31 14:36:16
84,2022-04-08 06:24:42,1204122957015,data16_13TeV:rel22repro,2022-05-03 18:13:10,2021-12-18 09:12:37,None,None,None,126,data16_13TeV.00310691.physics_Main.merge.DESDM_MCP.r13286_p4913_tid27639880_00,310691,2022-05-03 18:13:10
None,None,572487240921,data16_13TeV,2021-08-29 16:42:47,2021-08-01 12:53:36,None,None,None,101,data16_13TeV.00310691.physics_Main.merge.DESDM_SGLEL.r12746_p3833_p3833_tid26228096_00,310691,2021-08-29 16:42:47
3004,2020-06-11 14:54:38,3932076601464,data16_13TeV,2020-03-21 19:49:20,2020-03-18 23:52:51,None,None,None,8917,data16_13TeV.00310691.physics_Main.recon.DRAW_RPVLL.r11782_tid20777377_00,310691,2022-04-20 18:30:25
None,None,75292384624,None,2016-10-16 09:59:06,2016-10-15 23:14:43,None,None,None,722,data16_13TeV.00310691.physics_Mistimed.merge.RAW,310691,2022-04-20 18:21:01
83,2022-03-01 06:53:02,422701263063,data16_13TeV,2021-12-12 10:46:17,2021-12-01 16:02:12,None,None,None,468,data16_13TeV.00310738.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456630_00,310738,2022-03-01 06:53:30
919,2021-12-01 10:54:24,672366881916,None,2016-10-17 11:06:46,2016-10-17 10:56:23,None,None,None,933,data16_13TeV.00310738.calibration_DataScouting_05_Jets.merge.RAW,310738,2022-04-20 18:32:09
None,None,14714460824,None,2016-10-17 10:30:59,2016-10-16 21:53:45,None,None,None,14,data16_13TeV.00310738.calibration_lucid.daq.RAW,310738,2022-04-20 18:29:12
None,2017-10-04 23:29:33,1808326790599,data16_13TeV,2016-11-22 17:40:04,2016-11-21 06:34:25,None,None,None,1586,data16_13TeV.00310738.physics_BphysDelayed.merge.AOD.r8777_p2884_tid09897911_00,310738,2022-04-20 18:32:12
None,None,4677394437252,None,2016-10-17 10:46:09,2016-10-16 20:43:17,None,None,None,5591,data16_13TeV.00310738.physics_ExoDelayed.daq.RAW,310738,2022-04-20 18:22:24
8826,2023-02-25 07:57:29,2569254792783,data16_13TeV,2018-06-21 12:04:10,2018-06-14 15:09:17,None,None,None,3836,data16_13TeV.00310738.physics_Main.merge.DAOD_RPVLL.r9264_r10573_p3578_tid14401629_00,310738,2023-02-25 07:57:52
